Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
4278.193	-2087.862	-698.242
-1414.361	-873.461	-700.684
-899.784	-5868.000	-703.125
11536.269	-12823.304	-705.566
14701.754	-6246.567	-708.008
4974.929	-4236.161	-710.449
-4389.889	1816.709	-712.891
-5317.900	-5976.060	-715.332
-2782.562	-1568.634	-717.773
2758.502	-313.191	-720.215
8714.518	-1466.376	-722.656
7344.404	33.695	-725.098
3532.524	-4521.467	-727.539
7684.540	-8835.944	-729.980
9453.749	-1090.405	-732.422
16807.818	-7005.078	-734.863
6261.438	-8074.682	-737.305
2678.747	-9364.646	-739.746
11386.519	-10194.506	-742.188
1057.880	-8959.917	-744.629
3569.561	-12244.216	-747.070
4933.996	2597.110	-749.512
3137.813	-9800.431	-751.953
-3299.660	-3119.625	-754.395
-257.844	-10173.699	-756.836
2505.203	-12668.207	-759.277
13399.807	-6780.049	-761.719
577.437	-12592.309	-764.160
3014.729	-1873.599	-766.602
4878.977	-9501.030	-769.043
11119.758	-14024.914	-771.484
11570.102	1496.757	-773.926
9769.867	-6462.487	-776.367
7321.473	-1037.095	-778.809
-5639.602	-11129.706	-781.250
4662.854	-12770.395	-783.691
-4713.076	-12808.678	-786.133
7647.156	-7918.843	-788.574
-4955.808	-10435.166	-791.016
5899.237	-2892.139	-793.457
13532.240	478.367	-795.898
3944.649	-4014.385	-798.340
834.144	-2778.784	-800.781
8086.813	-10469.568	-803.223
4641.078	5781.810	-805.664
-5036.853	-2435.976	-808.105
-4000.051	4047.876	-810.547
8524.986	-532.731	-812.988
10063.900	3486.221	-815.430
-3261.829	-15687.541	-817.871
10535.799	-1106.398	-820.313
-1828.338	131.427	-822.754
-242.554	-432.854	-825.195
3268.492	-5044.565	-827.637
2641.673	-6968.251	-830.078
-5520.267	438.947	-832.520
-671.225	-4872.583	-834.961
9532.151	-5266.096	-837.402
8039.242	-6950.104	-839.844
-5212.339	-10458.197	-842.285
12946.229	-4154.422	-844.727
-5837.735	3375.988	-847.168
1725.343	2459.505	-849.609
-110.872	-8930.295	-852.051
10513.385	-7830.091	-854.492
